Province_State,Country_Region,Total Cases
Illinois,US,7943
Illinois,US,289813
Illinois,US,6660
Illinois,US,2125
Illinois,US,12823
Illinois,US,8753
Illinois,US,5516
Illinois,US,15422
Illinois,US,12788
Illinois,US,1850
Illinois,US,4281
Illinois,US,16326
Illinois,US,2668
Illinois,US,5396
Illinois,US,1447
Illinois,US,1576
Illinois,US,15932
Illinois,US,8886
Illinois,US,20182
Illinois,US,3224
Illinois,US,13589
Illinois,US,7873
Illinois,US,5182
Illinois,US,5572
Illinois,US,166146
Illinois,US,36784
Illinois,US,41814
Illinois,US,16232
Illinois,US,37187
Illinois,US,210403
Illinois,US,6844
Illinois,US,11614
Illinois,US,13246
Illinois,US,12678
Illinois,US,40343
Illinois,US,16079
Illinois,US,87637
Illinois,US,14693
Illinois,US,3481
Illinois,US,4730
Illinois,US,4663
Illinois,US,9086
Illinois,US,98211
Illinois,US,64188
Illinois,US,4598
Illinois,US,4931
Illinois,US,11440
Illinois,US,12176
Illinois,US,12381
Illinois,US,4939
Illinois,US,17498
Illinois,US,3
Illinois,US,59913
Illinois,US,9157
Illinois,US,5584
Illinois,US,6159
Illinois,US,1266
Illinois,US,2057
Illinois,US,1421
Illinois,US,12948
Illinois,US,6317
Illinois,US,42574
Illinois,US,10361
Illinois,US,76600
Illinois,US,2474
Illinois,US,1575
Illinois,US,7605
Illinois,US,81204
Illinois,US,1891
Illinois,US,15058
Illinois,US,46151
Illinois,US,66
Illinois,US,6858
Illinois,US,35285
Illinois,US,4837
Illinois,US,5073
Illinois,US,4140
Illinois,US,6611
Illinois,US,5445
Illinois,US,19530
Illinois,US,216951
Illinois,US,28971
Illinois,US,100711
Illinois,US,12654
Indiana,US,8751
Indiana,US,124359
Indiana,US,26876
Indiana,US,2985
Indiana,US,3701
Indiana,US,17386
Indiana,US,2984
Indiana,US,4926
Indiana,US,14090
Indiana,US,41291
Indiana,US,8155
Indiana,US,10719
Indiana,US,3098
Indiana,US,9069
Indiana,US,13654
Indiana,US,16256
Indiana,US,8582
Indiana,US,30191
Indiana,US,15090
Indiana,US,61477
Indiana,US,8378
Indiana,US,24235
Indiana,US,6424
Indiana,US,5205
Indiana,US,5774
Indiana,US,14364
Indiana,US,21036
Indiana,US,9107
Indiana,US,96944
Indiana,US,25238
Indiana,US,13373
Indiana,US,47804
Indiana,US,16226
Indiana,US,30065
Indiana,US,14368
Indiana,US,15182
Indiana,US,11067
Indiana,US,5904
Indiana,US,11231
Indiana,US,8172
Indiana,US,51015
