Province_State,Country_Region,Total Cases
Georgia,US,71
Georgia,US,426
Georgia,US,65
Georgia,US,74
Georgia,US,2
Georgia,US,182
Georgia,US,259
Georgia,US,291
Georgia,US,480
Georgia,US,304
Georgia,US,35
Georgia,US,141
Georgia,US,222
Georgia,US,10
Georgia,US,39
Georgia,US,185
Georgia,US,494
Georgia,US,73
Georgia,US,55
Georgia,US,67
Georgia,US,125
Grand Princess,US,3
Guam,US,420
Hawaii,US,237
Hawaii,US,1355
Hawaii,US,0
Hawaii,US,50
Hawaii,US,185
Hawaii,US,14
Hawaii,US,0
Idaho,US,1139
Idaho,US,16
Idaho,US,273
Idaho,US,19
Idaho,US,45
Idaho,US,175
Idaho,US,33
Idaho,US,14
Idaho,US,201
Idaho,US,305
Idaho,US,69
Idaho,US,12
Idaho,US,2
Idaho,US,738
Idaho,US,35
Idaho,US,58
Idaho,US,1
Idaho,US,40
Idaho,US,9
Idaho,US,74
Idaho,US,31
Idaho,US,30
Idaho,US,86
Idaho,US,61
Idaho,US,59
Idaho,US,69
Idaho,US,68
Idaho,US,669
Idaho,US,57
Idaho,US,28
Idaho,US,32
Idaho,US,15
Idaho,US,58
Idaho,US,71
Idaho,US,161
Idaho,US,12
Idaho,US,0
Idaho,US,56
Idaho,US,92
Idaho,US,20
Idaho,US,80
Idaho,US,9
Idaho,US,315
Idaho,US,0
Idaho,US,18
Idaho,US,61
Illinois,US,234
Illinois,US,16
Illinois,US,31
Illinois,US,127
Illinois,US,17
Illinois,US,136
Illinois,US,6
Illinois,US,57
Illinois,US,38
Illinois,US,315
Illinois,US,119
Illinois,US,54
Illinois,US,76
Illinois,US,118
Illinois,US,189
Illinois,US,15289
Illinois,US,50
Illinois,US,40
Illinois,US,42
Illinois,US,217
Illinois,US,63
Illinois,US,1859
Illinois,US,60
Illinois,US,29
Illinois,US,147
Illinois,US,106
Illinois,US,71
Illinois,US,186
Illinois,US,139
Illinois,US,20
Illinois,US,49
Illinois,US,154
Illinois,US,32
Illinois,US,52
Illinois,US,20
Illinois,US,19
Illinois,US,135
Illinois,US,131
Illinois,US,143
Illinois,US,33
Illinois,US,185
Illinois,US,80
Illinois,US,46
Illinois,US,44
Illinois,US,1216
Illinois,US,386
Illinois,US,171
Illinois,US,245
Illinois,US,421
Illinois,US,1544
Illinois,US,45
Illinois,US,92
Illinois,US,145
Illinois,US,101
Illinois,US,373
Illinois,US,149
Illinois,US,857
Illinois,US,223
Illinois,US,34
Illinois,US,67
Illinois,US,73
Illinois,US,109
Illinois,US,525
Illinois,US,332
Illinois,US,29
Illinois,US,51
Illinois,US,135
Illinois,US,112
Illinois,US,138
Illinois,US,51
Illinois,US,141
Illinois,US,0
Illinois,US,579
Illinois,US,101
Illinois,US,23
Illinois,US,70
Illinois,US,9
Illinois,US,23
Illinois,US,11
Illinois,US,135
Illinois,US,77
Illinois,US,519
Illinois,US,106
Illinois,US,445
Illinois,US,18
Illinois,US,14
Illinois,US,81
Illinois,US,802
Illinois,US,39
Illinois,US,189
Illinois,US,514
Illinois,US,5065
Illinois,US,70
Illinois,US,325
Illinois,US,30
Illinois,US,93
Illinois,US,36
Illinois,US,94
Illinois,US,55
Illinois,US,244
Illinois,US,1693
Illinois,US,275
Illinois,US,901
Illinois,US,121
Indiana,US,120
Indiana,US,1284
Indiana,US,270
Indiana,US,28
Indiana,US,82
Indiana,US,204
Indiana,US,63
Indiana,US,74
Indiana,US,182
Indiana,US,435
Indiana,US,101
Indiana,US,146
Indiana,US,41
Indiana,US,165
Indiana,US,164
Indiana,US,150
Indiana,US,155
Indiana,US,503
Indiana,US,179
Indiana,US,794
Indiana,US,163
Indiana,US,331
Indiana,US,111
Indiana,US,69
Indiana,US,115
Indiana,US,160
Indiana,US,392
Indiana,US,153
Indiana,US,723
Indiana,US,301
Indiana,US,166
Indiana,US,614
Indiana,US,258
Indiana,US,489
Indiana,US,175
Indiana,US,144
Indiana,US,163
Indiana,US,87
Indiana,US,180
Indiana,US,119
Indiana,US,661
Indiana,US,167
Indiana,US,256
Indiana,US,106
Indiana,US,405
Indiana,US,2008
Indiana,US,285
Indiana,US,701
Indiana,US,3238
Indiana,US,217
Indiana,US,30
Indiana,US,175
Indiana,US,325
Indiana,US,174
Indiana,US,305
Indiana,US,74
Indiana,US,177
Indiana,US,19
Indiana,US,106
Indiana,US,0
Indiana,US,137
Indiana,US,52
Indiana,US,73
Indiana,US,55
Indiana,US,627
Indiana,US,63
Indiana,US,92
Indiana,US,138
Indiana,US,163
Indiana,US,150
Indiana,US,61
Indiana,US,115
Indiana,US,191
Indiana,US,64
Indiana,US,967
Indiana,US,112
Indiana,US,126
Indiana,US,86
Indiana,US,22
Indiana,US,463
Indiana,US,94
Indiana,US,274
Indiana,US,23
Indiana,US,691
Indiana,US,82
Indiana,US,453
Indiana,US,172
Indiana,US,30
Indiana,US,262
Indiana,US,95
Indiana,US,363
Indiana,US,144
Indiana,US,102
Indiana,US,91
Iowa,US,52
Iowa,US,15
Iowa,US,68
Iowa,US,80
Iowa,US,25
Iowa,US,82
Iowa,US,528
Iowa,US,70
Iowa,US,89
Iowa,US,67
Iowa,US,66
Iowa,US,62
Iowa,US,26
Iowa,US,84
Iowa,US,88
Iowa,US,49
Iowa,US,181
Iowa,US,75
Iowa,US,37
Iowa,US,43
Iowa,US,54
Iowa,US,81
Iowa,US,173
Iowa,US,59
Iowa,US,160
Iowa,US,35
Iowa,US,29
Iowa,US,71
Iowa,US,165
Iowa,US,78
Iowa,US,330
Iowa,US,56
Iowa,US,88
Iowa,US,69
Iowa,US,50
Iowa,US,29
Iowa,US,28
Iowa,US,50
Iowa,US,48
Iowa,US,90
Iowa,US,51
Iowa,US,71
Iowa,US,101
Iowa,US,84
Iowa,US,37
Iowa,US,44
Iowa,US,51
Iowa,US,54
Iowa,US,75
Iowa,US,124
Iowa,US,63
Iowa,US,183
Iowa,US,84
Iowa,US,55
Iowa,US,98
Iowa,US,149
Iowa,US,668
Iowa,US,68
Iowa,US,34
Iowa,US,55
Iowa,US,46
Iowa,US,95
Iowa,US,136
Iowa,US,136
Iowa,US,47
Iowa,US,51
Iowa,US,53
Iowa,US,52
Iowa,US,60
Iowa,US,139
Iowa,US,73
Iowa,US,23
Iowa,US,0
Iowa,US,56
Iowa,US,41
Iowa,US,114
Iowa,US,31
Iowa,US,1230
Iowa,US,354
Iowa,US,65
Iowa,US,42
Iowa,US,43
Iowa,US,449
Iowa,US,59
Iowa,US,99
Iowa,US,104
Iowa,US,101
Iowa,US,25
Iowa,US,0
Iowa,US,56
Iowa,US,28
Iowa,US,222
Iowa,US,157
Iowa,US,89
Iowa,US,35
Iowa,US,186
Iowa,US,48
Iowa,US,56
Iowa,US,357
Iowa,US,17
Iowa,US,71
Kansas,US,65
Kansas,US,38
Kansas,US,45
Kansas,US,13
Kansas,US,124
Kansas,US,64
Kansas,US,51
Kansas,US,238
Kansas,US,10
Kansas,US,22
Kansas,US,99
Kansas,US,16
Kansas,US,8
Kansas,US,49
Kansas,US,50
Kansas,US,48
Kansas,US,18
Kansas,US,176
Kansas,US,148
Kansas,US,22
Kansas,US,107
Kansas,US,39
Kansas,US,176
Kansas,US,16
Kansas,US,13
Kansas,US,92
Kansas,US,34
Kansas,US,128
Kansas,US,123
Kansas,US,104
Kansas,US,90
Kansas,US,24
Kansas,US,20
Kansas,US,40
Kansas,US,25
Kansas,US,6
Kansas,US,26
Kansas,US,6
Kansas,US,29
Kansas,US,137
Kansas,US,15
Kansas,US,13
Kansas,US,40
Kansas,US,71
Kansas,US,17
Kansas,US,1377
Kansas,US,22
Kansas,US,30
Kansas,US,8
Kansas,US,89
Kansas,US,12
Kansas,US,211
Kansas,US,12
Kansas,US,36
Kansas,US,16
Kansas,US,136
Kansas,US,56
Kansas,US,51
Kansas,US,142
Kansas,US,27
Kansas,US,107
Kansas,US,26
Kansas,US,181
Kansas,US,33
Kansas,US,12
Kansas,US,67
Kansas,US,80
Kansas,US,19
Kansas,US,39
Kansas,US,68
Kansas,US,21
Kansas,US,24
Kansas,US,0
Kansas,US,27
Kansas,US,33
Kansas,US,70
Kansas,US,40
Kansas,US,11
Kansas,US,279
Kansas,US,22
